nullAfisarea informatiilor ; Tue Jun 30 14:44:13 EEST 2020
nullIntroducerea unui nou angajat ; Tue Jun 30 14:45:05 EEST 2020
Afisarea informatiilor ; Tue Jun 30 14:45:16 EEST 2020
nullAfisarea informatiilor ; Thu Jul 02 13:38:24 EEST 2020
nullAfisarea informatiilor despre un angajat ; Thu Jul 02 14:41:32 EEST 2020
Afisarea informatiilor despre un angajat ; Thu Jul 02 14:41:46 EEST 2020
nullAfisarea informatiilor despre un angajat ; Thu Jul 02 15:42:18 EEST 2020
Introducerea unui nou angajat ; Thu Jul 02 15:42:35 EEST 2020
nullIntroducerea unui nou angajat ; Thu Jul 02 15:45:43 EEST 2020
nullIntroducerea unui nou angajat ; Thu Jul 02 16:05:02 EEST 2020
